id,category,strict_status,relaxed_status,failure_nature,root_cause,evidence,recommendation
7,projection_select,fail,fail,semantic_error,"Model tự thêm DISTINCT nên biến câu hỏi liệt kê row-level thành danh sách cặp Country/Region duy nhất.","Gold trả 100 dòng Country/Region; generated chỉ trả 4 dòng DISTINCT.","Prompt/semantic layer cần phân biệt liệt kê dòng dữ liệu với liệt kê giá trị duy nhất."
9,count,fail,pass,strict_only_alias,"SQL đúng kết quả nhưng alias output khác gold.","Gold alias row_count; generated alias total_rows.","Giữ relaxed accuracy để không tính sai semantic; nếu cần strict thì chuẩn hóa alias count tổng."
11,count,fail,pass,strict_only_alias,"SQL đúng kết quả nhưng alias output khác gold.","Gold alias state_count; generated alias bang.","Chuẩn hóa alias trong prompt hoặc evaluator strict-normalization theo metric."
24,simple_filter,fail,fail,llm_json_contract_instability,"LLM output trong run chính thiếu field explanation nên parser reject trước validate SQL.","Error: LLM output missing required fields: explanation. Khi gọi lại riêng, model trả JSON đủ field.","Thêm retry cho malformed JSON hoặc parser fallback nếu sql hợp lệ; không phải lỗi SQL/date/schema."
27,multi_condition_filter,fail,fail,llm_json_contract_instability,"LLM output trong run chính thiếu field explanation nên parser reject trước validate SQL.","Error: LLM output missing required fields: explanation. Khi gọi lại riêng, model trả SQL đúng.","Thêm retry cho malformed JSON trước khi tính generation_error."
29,multi_condition_filter,fail,fail,wrong_output_column,"Model lọc đúng State nhưng chọn cột Region thay vì State trong SELECT.","WHERE dùng State='Arizona' đúng; output thiếu State và dư Region.","Prompt/semantic layer: với filter theo State phải include State trong projection."
33,multi_condition_filter,fail,fail,llm_json_contract_instability,"LLM output thiếu explanation; khi gọi lại riêng vẫn có xu hướng dùng EXTRACT(YEAR) thay vì date range và không include State/Category output.","Run chính: missing explanation. Raw rerun: SQL có State/Category trong WHERE nhưng SELECT chỉ Order_Date/Product_Name/Revenue.","Thêm retry malformed JSON; sau đó cải thiện rule projection cho filter theo State/Category/date."
34,multi_condition_filter,fail,pass,strict_only_extra_column,"Generated trả đúng gold columns và đúng giá trị nhưng thêm Revenue.","Match type gold_subset; generated có Revenue ngoài gold.","Relaxed pass là hợp lý; nếu strict cần cấm thêm Revenue khi câu hỏi hỏi Profit/Quantity."
48,group_by,fail,fail,wrong_limit_on_group_by,"Model thêm LIMIT 100 cho group_by không phải top-k, làm mất 8 city groups.","Gold có 108 thành phố; generated chỉ 100 vì LIMIT 100.","Prompt/validator semantic: không thêm LIMIT cho aggregate/group_by trừ top-k hoặc câu hỏi yêu cầu giới hạn."
53,group_by,fail,fail,wrong_aggregation_output,"Model dùng HAVING đúng nhưng không SELECT aggregate metric total_revenue.","Generated chỉ SELECT Category; gold SELECT Category và SUM(Revenue) AS total_revenue.","Rule: nếu HAVING/ORDER BY theo aggregate thì phải include aggregate metric trong SELECT."
55,group_by,fail,pass,strict_only_alias_and_date_style,"Kết quả đúng nhưng alias tháng khác và date filter dùng EXTRACT(YEAR) thay vì range.","Gold alias order_month; generated alias month; relaxed pass.","Strict report có thể giữ để thấy format drift; nếu cần chuẩn SQL-first thì enforce alias/date range."
