id,category,question,gold_sql,gold_tables,gold_columns,expected_features,debug_focus
1,top_k,Top 5 san pham co tong Revenue cao nhat trong nam 2024 la gi?,"SELECT p.""Product_Name"", SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.order_items oi JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY p.""Product_Name"" ORDER BY total_revenue DESC, p.""Product_Name"" LIMIT 5",products|order_items|orders,products.Product_Name|order_items.Revenue|orders.Order_Date,join|date_filter|group_by|order_by|limit,Order_Date retrieval for dated top-k product
2,top_k,Top 10 khach hang co tong Profit cao nhat trong nam 2024 tai Region East la ai?,"SELECT c.""Customer_Name"", SUM(oi.""Profit"") AS total_profit FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.customers c ON o.""Customer_ID"" = c.""Customer_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' AND l.""Region"" = 'East' GROUP BY c.""Customer_Name"" ORDER BY total_profit DESC, c.""Customer_Name"" LIMIT 10",customers|orders|locations|order_items,customers.Customer_Name|order_items.Profit|orders.Order_Date|locations.Region,join|date_filter|value_filter|group_by|order_by|limit,multi-table customer/entity linking
3,top_k,Top 5 State co Revenue cao nhat cho Category Electronics trong nam 2024 la State nao?,"SELECT l.""State"", SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" WHERE p.""Category"" = 'Electronics' AND o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY l.""State"" ORDER BY total_revenue DESC, l.""State"" LIMIT 5",locations|orders|order_items|products,locations.State|order_items.Revenue|products.Category|orders.Order_Date,join|date_filter|value_filter|group_by|order_by|limit,location/product join retrieval
4,top_k,Top 3 Sub_Category co tong Quantity ban ra cao nhat trong nam 2023 la gi?,"SELECT p.""Sub_Category"", SUM(oi.""Quantity"") AS total_quantity FROM mock_relational.order_items oi JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" WHERE o.""Order_Date"" >= '2023-01-01' AND o.""Order_Date"" < '2024-01-01' GROUP BY p.""Sub_Category"" ORDER BY total_quantity DESC, p.""Sub_Category"" LIMIT 3",products|order_items|orders,products.Sub_Category|order_items.Quantity|orders.Order_Date,join|date_filter|group_by|order_by|limit,quantity measure retrieval
5,top_k,Top 5 san pham co tong Revenue cao nhat toan bo du lieu la gi?,"SELECT p.""Product_Name"", SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.order_items oi JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" GROUP BY p.""Product_Name"" ORDER BY total_revenue DESC, p.""Product_Name"" LIMIT 5",products|order_items,products.Product_Name|order_items.Revenue,join|group_by|order_by|limit,non-date top-k should not require Order_Date
6,date_filter,Doanh thu theo tung thang trong nam 2024 la bao nhieu?,"SELECT TO_CHAR(o.""Order_Date"", 'YYYY-MM') AS month, SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY TO_CHAR(o.""Order_Date"", 'YYYY-MM') ORDER BY month",orders|order_items,orders.Order_Date|order_items.Revenue,date_filter|date_bucket|group_by,Order_Date retrieval for monthly report
7,date_filter,Revenue va Profit theo tung quy trong nam 2024 la bao nhieu?,"SELECT DATE_TRUNC('quarter', o.""Order_Date"")::date AS quarter_start, SUM(oi.""Revenue"") AS total_revenue, SUM(oi.""Profit"") AS total_profit FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY DATE_TRUNC('quarter', o.""Order_Date"")::date ORDER BY quarter_start",orders|order_items,orders.Order_Date|order_items.Revenue|order_items.Profit,date_filter|date_bucket|group_by,quarter date expression retrieval
8,date_filter,Co bao nhieu khach hang mua hang o Region West trong quy 4 nam 2024?,"SELECT COUNT(DISTINCT c.""Customer_ID"") AS customer_count FROM mock_relational.orders o JOIN mock_relational.customers c ON o.""Customer_ID"" = c.""Customer_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" WHERE l.""Region"" = 'West' AND o.""Order_Date"" >= '2024-10-01' AND o.""Order_Date"" < '2025-01-01'",customers|orders|locations,customers.Customer_ID|orders.Order_Date|locations.Region,join|date_filter|value_filter|count_distinct,customer/location/date retrieval
9,date_filter,Nhung san pham nao co Revenue tu thang 2 den thang 3 nam 2024 lon hon 5000 USD?,"SELECT p.""Product_Name"", SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.order_items oi JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" WHERE o.""Order_Date"" >= '2024-02-01' AND o.""Order_Date"" < '2024-04-01' GROUP BY p.""Product_Name"" HAVING SUM(oi.""Revenue"") > 5000 ORDER BY total_revenue DESC, p.""Product_Name""",products|order_items|orders,products.Product_Name|order_items.Revenue|orders.Order_Date,join|date_filter|threshold|group_by|having,date range plus threshold retrieval
10,date_filter,Revenue theo tung State va Category trong nua dau nam 2023 la bao nhieu?,"SELECT l.""State"", p.""Category"", SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" WHERE o.""Order_Date"" >= '2023-01-01' AND o.""Order_Date"" < '2023-07-01' GROUP BY l.""State"", p.""Category"" ORDER BY l.""State"", total_revenue DESC",locations|orders|order_items|products,locations.State|products.Category|order_items.Revenue|orders.Order_Date,join|date_filter|group_by,multi-dimension date filter
