id,question,final_status,valid,row_count,auto_limited,sql,explanation,error,trace_stages,result_preview_json,elapsed_ms
1,"Tìm Top 10 sản phẩm có tỷ lệ tăng trưởng Revenue cao nhất giữa năm 2023 và 2024, chỉ xét các sản phẩm có Revenue năm 2023 lớn hơn 10,000 USD.",success,True,10,False,"WITH revenue_2023 AS (SELECT ""Product_Name"", SUM(""Revenue"") AS revenue_2023 FROM product_sales WHERE ""Order_Date"" >= '2023-01-01' AND ""Order_Date"" < '2024-01-01' GROUP BY ""Product_Name"" HAVING SUM(""Revenue"") > 10000), revenue_2024 AS (SELECT ""Product_Name"", SUM(""Revenue"") AS revenue_2024 FROM product_sales WHERE ""Order_Date"" >= '2024-01-01' AND ""Order_Date"" < '2025-01-01' GROUP BY ""Product_Name"") SELECT r2023.""Product_Name"", (r2024.revenue_2024 - r2023.revenue_2023) / r2023.revenue_2023 * 100 AS growth_rate FROM revenue_2023 r2023 JOIN revenue_2024 r2024 ON r2023.""Product_Name"" = r2024.""Product_Name"" ORDER BY growth_rate DESC LIMIT 10",Tìm Top 10 sản phẩm có tỷ lệ tăng trưởng Revenue cao nhất giữa năm 2023 và 2024,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],null,2336.9
2,Có bao nhiêu khách hàng tạo ra 80% tổng Revenue của công ty?,success,True,1,False,"WITH ranked_revenue AS (SELECT ""Customer_Name"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""Customer_Name"" ORDER BY total_revenue DESC) SELECT COUNT(*) FROM (SELECT ""Customer_Name"" FROM ranked_revenue WHERE total_revenue >= (SELECT SUM(total_revenue) * 0.8 / (SELECT COUNT(*) FROM ranked_revenue) FROM ranked_revenue)) AS top_customers","Tính tổng doanh thu của từng khách hàng, sau đó sắp xếp theo thứ tự giảm dần. Lấy số lượng khách hàng tạo ra 80% tổng doanh thu.",,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],null,2358.39
3,"Với mỗi Region, tìm sản phẩm có Revenue cao nhất trong năm 2024.",success,True,4,False,"WITH ranked_revenue AS (SELECT ""Region"", ""Product_Name"", SUM(""Revenue"") AS total_revenue, ROW_NUMBER() OVER (PARTITION BY ""Region"" ORDER BY SUM(""Revenue"") DESC) AS revenue_rank FROM product_sales WHERE EXTRACT(YEAR FROM ""Order_Date"") = 2024 GROUP BY ""Region"", ""Product_Name"") SELECT ""Region"", ""Product_Name"", total_revenue AS max_revenue FROM ranked_revenue WHERE revenue_rank = 1","Sử dụng CTE để tính tổng doanh thu cho mỗi sản phẩm trong từng khu vực, sau đó sử dụng ROW_NUMBER để xếp hạng sản phẩm theo doanh thu. Cuối cùng, chọn sản phẩm có doanh thu cao nhất trong từng khu vực.",,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],null,2298.02
4,Tính Profit Margin của từng Region và xếp hạng từ cao xuống thấp.,success,True,4,False,"SELECT ""Region"", SUM(""Profit"") / SUM(""Revenue"") AS profit_margin FROM product_sales GROUP BY ""Region"" ORDER BY profit_margin DESC","Tính Profit Margin của từng Region bằng cách chia tổng lợi nhuận cho tổng doanh thu, sau đó xếp hạng từ cao xuống thấp",,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],null,1680.15
5,Tìm các tháng mà Revenue giảm hơn 30% so với tháng trước đó trong cùng Region.,success,True,12,False,"WITH monthly_revenue AS (SELECT ""Region"", TO_CHAR(""Order_Date"", 'YYYY-MM') AS month, SUM(""Revenue"") AS revenue FROM product_sales GROUP BY ""Region"", TO_CHAR(""Order_Date"", 'YYYY-MM')) SELECT m1.""Region"", m1.month, m1.revenue, m2.revenue AS prev_revenue FROM monthly_revenue m1 JOIN monthly_revenue m2 ON m1.""Region"" = m2.""Region"" AND m1.month = (TO_CHAR(TO_DATE(m2.month, 'YYYY-MM') + INTERVAL '1 month', 'YYYY-MM')) WHERE m1.revenue < m2.revenue * 0.7",Tìm các tháng mà doanh thu giảm hơn 30% so với tháng trước đó trong cùng khu vực,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],null,1783.77
6,Tìm các Product_Name có tổng Revenue thuộc Top 20 nhưng tổng Profit âm.,success,True,0,False,"SELECT ""Product_Name"" FROM product_sales GROUP BY ""Product_Name"" HAVING SUM(""Revenue"") IN (SELECT SUM(""Revenue"") FROM product_sales GROUP BY ""Product_Name"" ORDER BY SUM(""Revenue"") DESC LIMIT 20) AND SUM(""Profit"") < 0",Tìm các Product_Name có tổng Revenue thuộc Top 20 nhưng tổng Profit âm,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],null,1852.44
7,"Với mỗi State, Category nào đóng góp Revenue lớn nhất?",success,True,188,False,"SELECT ""State"", ""Category"", SUM(""Revenue"") AS max_revenue FROM product_sales GROUP BY ""State"", ""Category"" ORDER BY ""State"", SUM(""Revenue"") DESC","Để tìm Category đóng góp Revenue lớn nhất với mỗi State, cần nhóm dữ liệu theo State và Category, sau đó tính tổng doanh thu cho mỗi nhóm. Cuối cùng, sắp xếp kết quả theo State và tổng doanh thu giảm dần để tìm Category có doanh thu lớn nhất với mỗi State.",,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],null,1720.57
8,Có bao nhiêu khách hàng mua hàng trong cả năm 2023 và năm 2024?,success,True,1,False,"SELECT COUNT(DISTINCT ""Customer_Name"") AS so_khach_hang FROM product_sales WHERE ""Order_Date"" >= '2023-01-01' AND ""Order_Date"" < '2025-01-01'",Đếm số khách hàng mua hàng trong cả năm 2023 và năm 2024,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],null,2554.85
9,Tìm các Sub_Category có Profit Margin cao hơn Profit Margin trung bình của Category mà nó thuộc về.,success,True,10,False,"WITH category_avg_profit_margin AS (SELECT ""Category"", AVG(""Profit"" / ""Revenue"") AS avg_profit_margin FROM product_sales GROUP BY ""Category""), sub_category_profit_margin AS (SELECT ""Sub_Category"", ""Category"", AVG(""Profit"" / ""Revenue"") AS profit_margin FROM product_sales GROUP BY ""Sub_Category"", ""Category"") SELECT scp.""Sub_Category"" FROM sub_category_profit_margin scp JOIN category_avg_profit_margin capm ON scp.""Category"" = capm.""Category"" WHERE scp.profit_margin > capm.avg_profit_margin",Tìm các Sub_Category có Profit Margin cao hơn Profit Margin trung bình của Category mà nó thuộc về,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],null,2141.39
10,Hiển thị Revenue hàng tháng và Revenue lũy kế của từng Region.,success,True,96,False,"SELECT ""Region"", TO_CHAR(""Order_Date"", 'YYYY-MM') AS month, SUM(""Revenue"") AS revenue, SUM(SUM(""Revenue"")) OVER (PARTITION BY ""Region"" ORDER BY TO_CHAR(""Order_Date"", 'YYYY-MM')) AS cumulative_revenue FROM product_sales GROUP BY ""Region"", TO_CHAR(""Order_Date"", 'YYYY-MM') ORDER BY ""Region"", month",Sử dụng hàm SUM để tính doanh thu hàng tháng và hàm SUM với OVER để tính doanh thu lũy kế cho từng khu vực,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],null,1614.75
