id,category,question,gold_sql,generated_sql,is_valid,execution_success,is_correct,strict_correct,relaxed_correct,match_type,error,repair_attempted
1,select,Liệt kê tên sản phẩm và doanh thu.,"SELECT ""Product_Name"", ""Revenue"" FROM product_sales LIMIT 100",,False,False,False,False,False,generation_error,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kjgzps77fr6swhsznwnrvkz4` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99305, Requested 1681. Please try again in 14m11.904s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",False
2,select,"Liệt kê ngày đặt hàng, khu vực và danh mục.","SELECT ""Order_Date"", ""Region"", ""Category"" FROM product_sales LIMIT 100",,False,False,False,False,False,generation_error,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kjgzps77fr6swhsznwnrvkz4` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99304, Requested 1684. Please try again in 14m13.632s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",False
3,count,Có bao nhiêu đơn hàng?,SELECT COUNT(*) AS order_count FROM product_sales,,False,False,False,False,False,generation_error,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kjgzps77fr6swhsznwnrvkz4` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99304, Requested 1676. Please try again in 14m6.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",False
4,count,Có bao nhiêu khách hàng khác nhau?,"SELECT COUNT(DISTINCT ""Customer_Name"") AS customer_count FROM product_sales",,False,False,False,False,False,generation_error,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kjgzps77fr6swhsznwnrvkz4` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99303, Requested 1678. Please try again in 14m7.584s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",False
5,filter,Liệt kê các đơn hàng ở khu vực South.,"SELECT ""Order_Date"", ""Region"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Region"" = 'South' LIMIT 100",,False,False,False,False,False,generation_error,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kjgzps77fr6swhsznwnrvkz4` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99303, Requested 1705. Please try again in 14m30.912s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",False
6,filter,Liệt kê các đơn hàng thuộc danh mục Accessories.,"SELECT ""Order_Date"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Category"" = 'Accessories' LIMIT 100",,False,False,False,False,False,generation_error,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kjgzps77fr6swhsznwnrvkz4` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99302, Requested 1682. Please try again in 14m10.175999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",False
7,filter,Liệt kê các đơn hàng trong tháng 3 năm 2023.,"SELECT ""Order_Date"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Order_Date"" >= '2023-03-01' AND ""Order_Date"" < '2023-04-01' LIMIT 100",,False,False,False,False,False,generation_error,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kjgzps77fr6swhsznwnrvkz4` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99301, Requested 1686. Please try again in 14m12.768s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",False
8,aggregate,Tổng doanh thu là bao nhiêu?,"SELECT SUM(""Revenue"") AS total_revenue FROM product_sales",,False,False,False,False,False,generation_error,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kjgzps77fr6swhsznwnrvkz4` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99301, Requested 1678. Please try again in 14m5.856s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",False
9,aggregate,Lợi nhuận trung bình là bao nhiêu?,"SELECT AVG(""Profit"") AS average_profit FROM product_sales",,False,False,False,False,False,generation_error,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kjgzps77fr6swhsznwnrvkz4` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99300, Requested 1679. Please try again in 14m5.856s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",False
10,aggregate,Tổng số lượng bán ra là bao nhiêu?,"SELECT SUM(""Quantity"") AS total_quantity FROM product_sales",,False,False,False,False,False,generation_error,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kjgzps77fr6swhsznwnrvkz4` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99300, Requested 1703. Please try again in 14m26.592s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",False
