id,category,question,generated_sql,failure_nature,diagnosis,v2_fix
2,projection_select,"Liệt kê thành phố, bang và khu vực của các đơn hàng.","SELECT DISTINCT ""City"", ""State"", ""Region"" FROM product_sales LIMIT 100",distinct_on_listing,"Prompt tổng quát đã nói không DISTINCT khi liệt kê dữ liệu gốc, nhưng model vẫn hiểu listing là unique listing.","Semantic checker: nếu question có liệt kê và không có khác nhau/duy nhất/distinct thì reject SQL có DISTINCT."
3,projection_select,"Liệt kê danh mục con và tên sản phẩm.","SELECT DISTINCT ""Sub_Category"", ""Product_Name"" FROM product_sales LIMIT 100",distinct_on_listing,"Model tự thêm DISTINCT, làm row-level listing thành unique-level listing.","Semantic checker hoặc intent classifier tách row_listing và distinct_listing."
4,projection_select,"Liệt kê sản phẩm, số lượng và đơn giá.","SELECT ""Product_Name"", SUM(""Quantity"") AS ""Tổng_Số_Lượng"", AVG(""Unit_Price"") AS ""Đơn_Giá_Trung_Bình"" FROM product_sales GROUP BY ""Product_Name"" LIMIT 100",listing_as_aggregate,"Câu hỏi chỉ liệt kê cột gốc nhưng model suy diễn thành aggregate theo Product_Name.","Question classifier: liệt kê không có tổng/trung bình/theo từng/top thì cấm GROUP BY và aggregate."
5,projection_select,"Liệt kê khách hàng, thành phố và doanh thu.","SELECT ""Customer_Name"", ""City"", SUM(""Revenue"") AS ""Revenue"" FROM product_sales GROUP BY ""Customer_Name"", ""City"" LIMIT 100",listing_as_aggregate,"Model aggregate Revenue dù câu hỏi chỉ yêu cầu liệt kê dữ liệu gốc.","Semantic checker: row-level listing không được SUM/AVG/COUNT."
7,projection_select,"Liệt kê quốc gia và khu vực.","SELECT DISTINCT ""Country"", ""Region"" FROM product_sales LIMIT 100",distinct_on_listing,"Model tự thêm DISTINCT khiến kết quả còn 4 dòng thay vì 100 dòng gốc.","Semantic checker: cấm DISTINCT cho row-level listing."
8,projection_select,"Liệt kê danh mục, danh mục con và sản phẩm.","SELECT DISTINCT ""Category"", ""Sub_Category"", ""Product_Name"" FROM product_sales LIMIT 100",distinct_on_listing,"Model tự thêm DISTINCT cho câu liệt kê thông thường.","Semantic checker: cấm DISTINCT trừ khi question có dấu hiệu distinct intent."
14,count,"Có bao nhiêu đơn hàng ở khu vực West?","SELECT COUNT(""Order_Date"") AS so_don_hang FROM product_sales WHERE ""Region"" = 'West'",count_wrong_proxy,"COUNT(Order_Date) có thể đúng tình cờ nếu Order_Date không null, nhưng sai semantic so với count rows/orders.","Semantic catalog: table grain order-line; order_count = COUNT(*)."
15,count,"Có bao nhiêu đơn hàng thuộc danh mục Electronics?","SELECT COUNT(""Order_Date"") AS so_don_hang FROM product_sales WHERE ""Category"" = 'Electronics'",count_wrong_proxy,"Model dùng date column làm proxy cho số đơn hàng.","Semantic catalog/system rule: count record/order rows bằng COUNT(*), không dùng nullable proxy column."
17,simple_filter,"Liệt kê đơn hàng ở khu vực East.","SELECT * FROM product_sales WHERE ""Region"" = 'East' LIMIT 100",select_star_regression,"Prompt tổng quát nói không SELECT *, nhưng model vẫn dùng SELECT * khi thiếu projection policy cụ thể.","Projection checker: reject SELECT *; projection planner chọn entity/filter/measure columns tối thiểu."
18,simple_filter,"Liệt kê đơn hàng ở thành phố Atlanta.","SELECT * FROM product_sales WHERE ""City"" = 'Atlanta' LIMIT 100",select_star_regression,"Model dùng SELECT * cho listing filter.","Projection checker: reject SELECT * và yêu cầu columns tối thiểu dựa trên question."
