id,question,final_status,valid,row_count,auto_limited,sql,explanation,error,trace_stages,result_preview_json,elapsed_ms
1,"T?m Top 10 s?n ph?m c? t? l? t?ng tr??ng Revenue cao nh?t gi?a n?m 2023 v? 2024, ch? x?t c?c s?n ph?m c? Revenue n?m 2023 l?n h?n 10,000 USD.",success,True,10,False,"SELECT ""Product_Name"", SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Order_Date"" >= '2023-01-01' AND ""Order_Date"" < '2025-01-01' GROUP BY ""Product_Name"" HAVING SUM(CASE WHEN ""Order_Date"" >= '2023-01-01' AND ""Order_Date"" < '2024-01-01' THEN ""Revenue"" ELSE 0 END) > 10000 ORDER BY total_revenue DESC LIMIT 10","Tìm Top 10 sản phẩm có tổng doanh thu cao nhất giữa năm 2023 và 2024, chỉ xét các sản phẩm có doanh thu năm 2023 lớn hơn 10,000 USD",,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],"{""columns"": [""Product_Name"", ""total_revenue""], ""rows"": [{""Product_Name"": ""Tempur-Pedic Mattress"", ""total_revenue"": 9061755.859999992}, {""Product_Name"": ""Instant Pot"", ""total_revenue"": 8903475.26}, {""Product_Name"": ""MacBook Air"", ""total_revenue"": 7362516.810000003}, {""Product_Name"": ""Apple Watch"", ""total_revenue"": 6834472.350000003}, {""Product_Name"": ""Apple iPhone 14"", ""total_revenue"": 5740819.18}, {""Product_Name"": ""iPad Pro"", ""total_revenue"": 5574458.889999998}, {""Product_Name"": ""KitchenAid Mixer"", ""total_revenue"": 4989740.690000008}, {""Product_Name"": ""Storage Rack"", ""total_revenue"": 4463941.270000002}, {""Product_Name"": ""Brooklinen Sheets"", ""total_revenue"": 3981027.4400000027}, {""Product_Name"": ""Samsung Galaxy S23"", ""total_revenue"": 3851240.0199999996}]}",2202.92
2,C? bao nhi?u kh?ch h?ng t?o ra 80% t?ng Revenue c?a c?ng ty?,success,True,1,False,"WITH ranked_revenue AS (SELECT ""Customer_Name"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""Customer_Name"" ORDER BY total_revenue DESC) SELECT COUNT(*) FROM (SELECT ""Customer_Name"" FROM ranked_revenue WHERE total_revenue >= (SELECT SUM(total_revenue) * 0.8 / (SELECT COUNT(*) FROM ranked_revenue) FROM ranked_revenue)) AS top_customers","Tính tổng doanh thu của từng khách hàng, sau đó sắp xếp theo thứ tự giảm dần. Lấy số lượng khách hàng chiếm 80% tổng doanh thu.",,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],"{""columns"": [""count""], ""rows"": [{""count"": 44433}]}",2340.09
3,"V?i m?i Region, t?m s?n ph?m c? Revenue cao nh?t trong n?m 2024.",success,True,4,False,"WITH ranked_revenue AS (SELECT ""Region"", ""Product_Name"", SUM(""Revenue"") AS total_revenue, ROW_NUMBER() OVER (PARTITION BY ""Region"" ORDER BY SUM(""Revenue"") DESC) AS revenue_rank FROM product_sales WHERE EXTRACT(YEAR FROM ""Order_Date"") = 2024 GROUP BY ""Region"", ""Product_Name"") SELECT ""Region"", ""Product_Name"", total_revenue AS max_revenue FROM ranked_revenue WHERE revenue_rank = 1","Sử dụng CTE để tính tổng doanh thu cho mỗi sản phẩm trong từng khu vực, sau đó sử dụng ROW_NUMBER để xếp hạng sản phẩm theo doanh thu. Cuối cùng, chọn sản phẩm có doanh thu cao nhất trong từng khu vực.",,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],"{""columns"": [""Region"", ""Product_Name"", ""max_revenue""], ""rows"": [{""Region"": ""Centre"", ""Product_Name"": ""Tempur-Pedic Mattress"", ""max_revenue"": 1332284.2199999995}, {""Region"": ""East"", ""Product_Name"": ""Instant Pot"", ""max_revenue"": 1580795.8499999996}, {""Region"": ""South"", ""Product_Name"": ""Tempur-Pedic Mattress"", ""max_revenue"": 899361.3299999996}, {""Region"": ""West"", ""Product_Name"": ""Instant Pot"", ""max_revenue"": 1046463.6500000006}]}",1853.32
4,T?nh Profit Margin c?a t?ng Region v? x?p h?ng t? cao xu?ng th?p.,success,True,4,False,"SELECT ""Region"", SUM(""Profit"") / SUM(""Revenue"") AS profit_margin FROM product_sales GROUP BY ""Region"" ORDER BY profit_margin DESC","Tính Profit Margin của từng Region bằng cách chia tổng lợi nhuận cho tổng doanh thu, sau đó sắp xếp theo thứ tự giảm dần",,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],"{""columns"": [""Region"", ""profit_margin""], ""rows"": [{""Region"": ""South"", ""profit_margin"": 0.23576717722169038}, {""Region"": ""West"", ""profit_margin"": 0.22939599554408377}, {""Region"": ""Centre"", ""profit_margin"": 0.22434697285353158}, {""Region"": ""East"", ""profit_margin"": 0.20500928289133857}]}",2729.83
5,T?m c?c th?ng m? Revenue gi?m h?n 30% so v?i th?ng tr??c ?? trong c?ng Region.,success,True,18,False,"WITH revenue_prev AS ( SELECT ""Region"", TO_CHAR(""Order_Date"" - INTERVAL '1 month', 'YYYY-MM') AS month_prev, SUM(""Revenue"") AS revenue_prev FROM product_sales GROUP BY ""Region"", TO_CHAR(""Order_Date"" - INTERVAL '1 month', 'YYYY-MM') ), revenue_curr AS ( SELECT ""Region"", TO_CHAR(""Order_Date"", 'YYYY-MM') AS month_curr, SUM(""Revenue"") AS revenue_curr FROM product_sales GROUP BY ""Region"", TO_CHAR(""Order_Date"", 'YYYY-MM') ) SELECT r1.""Region"", r1.month_curr, r1.revenue_curr, r2.month_prev, r2.revenue_prev FROM revenue_curr r1 JOIN revenue_prev r2 ON r1.""Region"" = r2.""Region"" AND r1.month_curr = r2.month_prev WHERE r1.revenue_curr < r2.revenue_prev * 0.7",Tìm các tháng trong cùng một Region có doanh thu giảm hơn 30% so với tháng trước,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],"{""columns"": [""Region"", ""month_curr"", ""revenue_curr"", ""month_prev"", ""revenue_prev""], ""rows"": [{""Region"": ""Centre"", ""month_curr"": ""2023-10"", ""revenue_curr"": 2264490.370000001, ""month_prev"": ""2023-10"", ""revenue_prev"": 3316020.8099999987}, {""Region"": ""South"", ""month_curr"": ""2023-09"", ""revenue_curr"": 784847.0500000003, ""month_prev"": ""2023-09"", ""revenue_prev"": 1475541.7199999993}, {""Region"": ""South"", ""month_curr"": ""2023-10"", ""revenue_curr"": 1475541.7199999995, ""month_prev"": ""2023-10"", ""revenue_prev"": 2326926.510000002}, {""Region"": ""South"", ""month_curr"": ""2023-02"", ""revenue_curr"": 455074.37, ""month_prev"": ""2023-02"", ""revenue_prev"": 689400.1200000003}, {""Region"": ""Centre"", ""month_curr"": ""2023-09"", ""revenue_curr"": 1139304.9500000002, ""month_prev"": ""2023-09"", ""revenue_prev"": 2264490.370000001}, {""Region"": ""South"", ""month_curr"": ""2024-09"", ""revenue_curr"": 881404.76, ""month_prev"": ""2024-09"", ""revenue_prev"": 1573703.2300000007}, {""Region"": ""East"", ""month_curr"": ""2023-10"", ""revenue_curr"": 2802358.01, ""month_prev"": ""2023-10"", ""revenue_prev"": 4277691.880000005}, {""Region"": ""West"", ""month_curr"": ""2024-10"", ""revenue_curr"": 2260057.409999999, ""month_prev"": ""2024-10"", ""revenue_prev"": 3536664.690000001}, {""Region"": ""Centre"", ""month_curr"": ""2024-09"", ""revenue_curr"": 1226049.2999999989, ""month_prev"": ""2024-09"", ""revenue_prev"": 2104241.2699999996}, {""Region"": ""South"", ""month_curr"": ""2024-10"", ""revenue_curr"": 1573703.2300000004, ""month_prev"": ""2024-10"", ""revenue_prev"": 2448967.410000001}, {""Region"": ""Centre"", ""month_curr"": ""2024-10"", ""revenue_curr"": 2104241.2700000005, ""month_prev"": ""2024-10"", ""revenue_prev"": 3526314.4300000006}, {""Region"": ""West"", ""month_curr"": ""2023-10"", ""revenue_curr"": 2135004.880000001, ""month_prev"": ""2023-10"", ""revenue_prev"": 3447440.689999995}, {""Region"": ""East"", ""month_curr"": ""2024-02"", ""revenue_curr"": 884975.3299999998, ""month_prev"": ""2024-02"", ""revenue_prev"": 1301479.9300000009}, {""Region"": ""West"", ""month_curr"": ""2023-09"", ""revenue_curr"": 1188214.83, ""month_prev"": ""2023-09"", ""revenue_prev"": 2135004.880000001}, {""Region"": ""East"", ""month_curr"": ""2024-09"", ""revenue_curr"": 1488001.4500000007, ""month_prev"": ""2024-09"", ""revenue_prev"": 2781540.079999998}, {""Region"": ""West"", ""month_curr"": ""2024-09"", ""revenue_curr"": 1250998.9999999995, ""month_prev"": ""2024-09"", ""revenue_prev"": 2260057.41}, {""Region"": ""East"", ""month_curr"": ""2023-09"", ""revenue_curr"": 1510228.8499999996, ""month_prev"": ""2023-09"", ""revenue_prev"": 2802358.01}, {""Region"": ""East"", ""month_curr"": ""2024-10"", ""revenue_curr"": 2781540.0799999977, ""month_prev"": ""2024-10"", ""revenue_prev"": 4387725.380000003}]}",2065.78
6,T?m c?c Product_Name c? t?ng Revenue thu?c Top 20 nh?ng t?ng Profit ?m.,success,True,20,False,"SELECT ""Product_Name"", SUM(""Revenue"") AS total_revenue, SUM(""Profit"") AS total_profit FROM product_sales GROUP BY ""Product_Name"" ORDER BY SUM(""Profit"") DESC LIMIT 20",Tìm các Product_Name có tổng Revenue thuộc Top 20 những tổng Profit âm,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],"{""columns"": [""Product_Name"", ""total_revenue"", ""total_profit""], ""rows"": [{""Product_Name"": ""Tempur-Pedic Mattress"", ""total_revenue"": 9061755.859999992, ""total_profit"": 2134208.799999999}, {""Product_Name"": ""Instant Pot"", ""total_revenue"": 8903475.259999996, ""total_profit"": 1689924.1600000006}, {""Product_Name"": ""Nike Air Force 1"", ""total_revenue"": 3452321.3800000036, ""total_profit"": 1128698.91}, {""Product_Name"": ""Storage Rack"", ""total_revenue"": 4463941.270000001, ""total_profit"": 1052179.550000001}, {""Product_Name"": ""MacBook Air"", ""total_revenue"": 7362516.810000008, ""total_profit"": 1028767.5899999983}, {""Product_Name"": ""Old Navy Dress"", ""total_revenue"": 2944197.2800000003, ""total_profit"": 960337.8500000017}, {""Product_Name"": ""Apple Watch"", ""total_revenue"": 6834472.350000003, ""total_profit"": 957992.8700000005}, {""Product_Name"": ""KitchenAid Mixer"", ""total_revenue"": 4989740.690000007, ""total_profit"": 944239.0800000003}, {""Product_Name"": ""Brooklinen Sheets"", ""total_revenue"": 3981027.440000003, ""total_profit"": 933904.2399999998}, {""Product_Name"": ""Carter's Onesie"", ""total_revenue"": 2773675.040000002, ""total_profit"": 907369.4100000004}, {""Product_Name"": ""Nike Running Shoes"", ""total_revenue"": 2582972.169999998, ""total_profit"": 839269.74}, {""Product_Name"": ""IKEA Sofa"", ""total_revenue"": 3513436.290000001, ""total_profit"": 824017.2499999995}, {""Product_Name"": ""Throw Pillows"", ""total_revenue"": 3478990.1700000013, ""total_profit"": 820062.6499999992}, {""Product_Name"": ""Apple iPhone 14"", ""total_revenue"": 5740819.180000002, ""total_profit"": 808671.1600000001}, {""Product_Name"": ""iPad Pro"", ""total_revenue"": 5574458.889999999, ""total_profit"": 781602.7799999993}, {""Product_Name"": ""Zara Blouse"", ""total_revenue"": 2383290.3400000012, ""total_profit"": 772118.0700000003}, {""Product_Name"": ""Closet Organizer"", ""total_revenue"": 3282365.4800000004, ""total_profit"": 771464.2699999998}, {""Product_Name"": ""Adidas Tracksuit"", ""total_revenue"": 2361174.549999999, ""total_profit"": 766612.1600000004}, {""Product_Name"": ""Levi's Jeans"", ""total_revenue"": 2220274.039999999, ""total_profit"": 720231.9600000009}, {""Product_Name"": ""Children's Hoodie"", ""total_revenue"": 2157828.870000001, ""total_profit"": 700414.0800000002}]}",1459.41
7,"V?i m?i State, Category n?o ??ng g?p Revenue l?n nh?t?",success,True,1,False,"SELECT ""State"", ""Category"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""State"", ""Category"" ORDER BY total_revenue DESC LIMIT 1","Tìm State và Category có tổng doanh thu lớn nhất bằng cách nhóm theo State và Category, tính tổng doanh thu cho mỗi nhóm và sắp xếp theo tổng doanh thu giảm dần.",,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],"{""columns"": [""State"", ""Category"", ""total_revenue""], ""rows"": [{""State"": ""California"", ""Category"": ""Electronics"", ""total_revenue"": 2577277.0100000002}]}",1624.2
8,C? bao nhi?u kh?ch h?ng mua h?ng trong c? n?m 2023 v? n?m 2024?,success,True,1,False,"SELECT COUNT(DISTINCT ""Customer_Name"") AS so_khach_hang FROM product_sales WHERE ""Order_Date"" >= '2023-01-01' AND ""Order_Date"" < '2025-01-01'",Dùng COUNT(DISTINCT) để đếm số khách hàng duy nhất mua hàng trong năm 2023 và 2024,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],"{""columns"": [""so_khach_hang""], ""rows"": [{""so_khach_hang"": 120230}]}",2428.03
9,T?m c?c Sub_Category c? Profit Margin cao h?n Profit Margin trung b?nh c?a Category m? n? thu?c v?.,success,True,10,False,"WITH category_avg_profit AS (SELECT ""Category"", AVG(""Profit"" / ""Revenue"") AS avg_profit_margin FROM product_sales GROUP BY ""Category""), sub_category_profit AS (SELECT ""Sub_Category"", ""Category"", AVG(""Profit"" / ""Revenue"") AS profit_margin FROM product_sales GROUP BY ""Sub_Category"", ""Category"") SELECT scp.""Sub_Category"", scp.""Category"", scp.profit_margin FROM sub_category_profit scp JOIN category_avg_profit cap ON scp.""Category"" = cap.""Category"" WHERE scp.profit_margin > cap.avg_profit_margin",Tìm các Sub_Category có Profit Margin cao hơn Profit Margin trung bình của Category mà nó thuộc về,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],"{""columns"": [""Sub_Category"", ""Category"", ""profit_margin""], ""rows"": [{""Sub_Category"": ""Bags"", ""Category"": ""Accessories"", ""profit_margin"": 0.34107230101080516}, {""Sub_Category"": ""Footwear"", ""Category"": ""Clothing & Apparel"", ""profit_margin"": 0.3251044922937565}, {""Sub_Category"": ""Furniture"", ""Category"": ""Home & Furniture"", ""profit_margin"": 0.2354228971908936}, {""Sub_Category"": ""Kids Wear"", ""Category"": ""Clothing & Apparel"", ""profit_margin"": 0.32543940274496486}, {""Sub_Category"": ""Smartphones"", ""Category"": ""Electronics"", ""profit_margin"": 0.14075249444767163}, {""Sub_Category"": ""Sportswear"", ""Category"": ""Clothing & Apparel"", ""profit_margin"": 0.32516565267361885}, {""Sub_Category"": ""Storage"", ""Category"": ""Home & Furniture"", ""profit_margin"": 0.2358409660712024}, {""Sub_Category"": ""TVs & Audio"", ""Category"": ""Electronics"", ""profit_margin"": 0.14038876304716255}, {""Sub_Category"": ""Wearable Accessories"", ""Category"": ""Accessories"", ""profit_margin"": 0.3411178177681618}, {""Sub_Category"": ""Wearables"", ""Category"": ""Electronics"", ""profit_margin"": 0.14042837820073872}]}",2180.16
10,Hi?n th? Revenue h?ng th?ng v? Revenue l?y k? c?a t?ng Region.,success,True,4,False,"SELECT ""Region"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""Region""",Tính tổng doanh thu cho từng khu vực,,Nhận câu hỏi[done] -> Chuẩn bị schema context[done] -> Sinh SQL bằng LLM[done] -> Phân tích cấu trúc SQL[done] -> Kiểm tra SQL an toàn[pass] -> Thực thi SQL[pass] -> Trả kết quả[success],"{""columns"": [""Region"", ""total_revenue""], ""rows"": [{""Region"": ""Centre"", ""total_revenue"": 36081894.340000026}, {""Region"": ""East"", ""total_revenue"": 44980048.22000001}, {""Region"": ""South"", ""total_revenue"": 25102960.640000015}, {""Region"": ""West"", ""total_revenue"": 36242841.73000003}]}",1460.06
