id,category,difficulty,question,gold_sql,generated_sql,is_valid,execution_success,is_correct,strict_correct,relaxed_correct,match_type,error,repair_attempted,failure_target
1,projection_select,easy,Liệt kê ngày đặt hàng và tên khách hàng.,"SELECT ""Order_Date"", ""Customer_Name"" FROM product_sales LIMIT 100","SELECT ""Order_Date"", ""Customer_Name"" FROM product_sales LIMIT 100",True,True,True,True,True,strict,,False,column selection
2,projection_select,easy,"Liệt kê thành phố, bang và khu vực của các đơn hàng.","SELECT ""City"", ""State"", ""Region"" FROM product_sales LIMIT 100","SELECT ""City"", ""State"", ""Region"" FROM product_sales LIMIT 100",True,True,True,True,True,strict,,False,column selection
3,projection_select,easy,Liệt kê danh mục con và tên sản phẩm.,"SELECT ""Sub_Category"", ""Product_Name"" FROM product_sales LIMIT 100","SELECT ""Sub_Category"", ""Product_Name"" FROM product_sales LIMIT 100",True,True,True,True,True,strict,,False,column selection
4,projection_select,easy,"Liệt kê sản phẩm, số lượng và đơn giá.","SELECT ""Product_Name"", ""Quantity"", ""Unit_Price"" FROM product_sales LIMIT 100","SELECT ""Product_Name"", ""Quantity"", ""Unit_Price"" FROM product_sales LIMIT 100",True,True,True,True,True,strict,,False,column selection
5,projection_select,easy,"Liệt kê khách hàng, thành phố và doanh thu.","SELECT ""Customer_Name"", ""City"", ""Revenue"" FROM product_sales LIMIT 100","SELECT ""Customer_Name"", ""City"", ""Revenue"" FROM product_sales LIMIT 100",True,True,True,True,True,strict,,False,column selection
6,projection_select,easy,"Liệt kê ngày đặt hàng, lợi nhuận và doanh thu.","SELECT ""Order_Date"", ""Profit"", ""Revenue"" FROM product_sales LIMIT 100","SELECT ""Order_Date"", ""Profit"", ""Revenue"" FROM product_sales LIMIT 100",True,True,True,True,True,strict,,False,column selection
7,projection_select,easy,Liệt kê quốc gia và khu vực.,"SELECT ""Country"", ""Region"" FROM product_sales LIMIT 100","SELECT DISTINCT ""Country"", ""Region"" FROM product_sales LIMIT 100",True,True,False,False,False,mismatch,Result mismatch,False,column selection
8,projection_select,easy,"Liệt kê danh mục, danh mục con và sản phẩm.","SELECT ""Category"", ""Sub_Category"", ""Product_Name"" FROM product_sales LIMIT 100","SELECT ""Category"", ""Sub_Category"", ""Product_Name"" FROM product_sales LIMIT 100",True,True,True,True,True,strict,,False,column selection
9,count,medium,Đếm tổng số dòng bán hàng trong bảng.,SELECT COUNT(*) AS row_count FROM product_sales,SELECT COUNT(*) AS total_rows FROM product_sales LIMIT 100,True,True,True,False,True,alias_only,,False,count alias
10,count,medium,Có bao nhiêu thành phố khác nhau?,"SELECT COUNT(DISTINCT ""City"") AS city_count FROM product_sales","SELECT COUNT(DISTINCT ""City"") AS city_count FROM product_sales",True,True,True,True,True,strict,,False,distinct count
11,count,medium,Có bao nhiêu bang khác nhau trong dữ liệu?,"SELECT COUNT(DISTINCT ""State"") AS state_count FROM product_sales","SELECT COUNT(DISTINCT ""State"") AS bang FROM product_sales LIMIT 100",True,True,True,False,True,alias_only,,False,distinct count
12,count,medium,Có bao nhiêu sản phẩm khác nhau?,"SELECT COUNT(DISTINCT ""Product_Name"") AS product_count FROM product_sales","SELECT COUNT(DISTINCT ""Product_Name"") AS product_count FROM product_sales",True,True,True,True,True,strict,,False,distinct count
13,count,medium,Có bao nhiêu danh mục con khác nhau?,"SELECT COUNT(DISTINCT ""Sub_Category"") AS sub_category_count FROM product_sales","SELECT COUNT(DISTINCT ""Sub_Category"") AS sub_category_count FROM product_sales",True,True,True,True,True,strict,,False,distinct count
14,count,medium,Có bao nhiêu đơn hàng ở khu vực West?,"SELECT COUNT(*) AS order_count FROM product_sales WHERE ""Region"" = 'West'","SELECT COUNT(*) AS order_count FROM product_sales WHERE ""Region"" = 'West' LIMIT 100",True,True,True,True,True,strict,,False,count filter
15,count,medium,Có bao nhiêu đơn hàng thuộc danh mục Electronics?,"SELECT COUNT(*) AS order_count FROM product_sales WHERE ""Category"" = 'Electronics'","SELECT COUNT(*) AS order_count FROM product_sales WHERE ""Category"" = 'Electronics' LIMIT 100",True,True,True,True,True,strict,,False,count filter
16,count,medium,Có bao nhiêu khách hàng khác nhau tại thành phố Atlanta?,"SELECT COUNT(DISTINCT ""Customer_Name"") AS customer_count FROM product_sales WHERE ""City"" = 'Atlanta'","SELECT COUNT(DISTINCT ""Customer_Name"") AS customer_count FROM product_sales WHERE ""City"" ILIKE 'Atlanta'",True,True,True,True,True,strict,,False,distinct count filter
17,simple_filter,easy,Liệt kê đơn hàng ở khu vực East.,"SELECT ""Order_Date"", ""Region"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Region"" = 'East' LIMIT 100","SELECT ""Order_Date"", ""Region"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Region"" ILIKE 'East' LIMIT 100",True,True,True,True,True,strict,,False,simple text filter
18,simple_filter,easy,Liệt kê đơn hàng ở thành phố Atlanta.,"SELECT ""Order_Date"", ""City"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""City"" = 'Atlanta' LIMIT 100","SELECT ""Order_Date"", ""City"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""City"" ILIKE 'Atlanta' LIMIT 100",True,True,True,True,True,strict,,False,simple text filter
